Description,Weekend,Area,Age,Floor,Price
                        libadiye cad. yakın kullanılmamış sıfır esyalı 2+1 kiralık daire                      ,2 + 1,                          90 m2,5 Yaşında,                      3. Kat,              12.000              TL
                        sevinç dan.. üsk.fuul eşyalı.sıfır  dublex bağlarbaşına 3+1 . 140  m2 otopark. 2wc .2 banyo.2 cephe                      ,3 + 1,                          150 m2,Sıfır Bina,                      4. Kat,              10.000              TL
                        yeni evlenecek çiftlere otoparklı sitede önü açık kısmi eşyalı 2+1                      ,2 + 1,                          80 m2,5 Yaşında,                      5. Kat,              8.000              TL
                        üsküdar burhaniye 'de 2+1 70 m2 bahçe katı daire - sahibinden                      ,2 + 1,                          75 m2,25 Yaşında,                      Zemin,              3.500              TL
                        üsküdar’da sıfır binada asansörlü otoparklı 3+1 ara kat                      ,3 + 1,                          88 m2,Sıfır Bina,                      1. Kat,              11.000              TL
                        üsküdar ahmediye mah ara kat 2+1 75 m2 kombili daire                      ,2 + 1,                          75 m2,40 Yaşında,                      3. Kat,              5.500              TL
                        üsküdar boyacı emlaktan 1 kat 2*1- 90 m2 kombili l çepe pimapenli kiralık daire pazarlık var                      ,2 + 1,                          90 m2,35 Yaşında,                      1. Kat,              6.100              TL
                        bulgurlu  metroya  15  dak  ara kat  2+1 oda  100 m2  asansör  balkon 4 kat                      ,2 + 1,                          100 m2,15 Yaşında,                      4. Kat,              7.000              TL
                        kiralık 3+1 daire                      ,3 + 1,                          120 m2,30 Yaşında,                      1. Kat,              8.500              TL
                        sahibinden kiralık kadıköy'e 10 dakika full eşyalı libadiye'de 1+1 daire                      ,1 + 1,                          70 m2,3 Yaşında,                      Ara Kat,              10.000              TL
                        çengelköy de havuzlu asansörlü geniş m(2) li müstakil ev                      ,6 + 3,                          550 m2,13 Yaşında,,              55.000              TL
                        validebağ konaklarında 1+1 kiralık daire   nobel gayrimenkulden                      ,1 + 1,                          70 m2,1 Yaşında,                      Kot 1,              9.500              TL
                        mesa yanı önalan koru evlerinde kiralık 4+1 dubleks daire                      ,4 + 1,                          187 m2,Sıfır Bina,                      5. Kat,              15.500              TL
                        salacakta muhteşem manzaralı otoparklı kiralık şık dubleks daire                      ,4 + 1,                          200 m2,11 Yaşında,                      2. Kat,              45.000              TL
                        beylerbeyi kiralık 5+1 rıhtımlı çatı dubleksi 330m2 yalı dairesi                      ,5 + 1,                          330 m2,8 Yaşında,                      3. Kat,              65.000              TL
"                        merkezde, yeni binada, çarşıya sahile yakın, kiralık dubleks                      ",2 + 2,                          125 m2,1 Yaşında,                      2. Kat,              10.000              TL
                        kandilli 'de eşsiz deniz manzarasına hakim şömineli 185 net 3+1                      ,3 + 1,                          220 m2,17 Yaşında,                      En Üst Kat,              16.250              TL
                        validebağ konakları dublex teraslı 4+1 kiralık daire                      ,4 + 1,                          230 m2,2 Yaşında,                      Teras Katı,              35.500              TL
                        f-l emlaktan bulgurlu libadiye emaar avm metro yakını 6+1 dubleks                      ,5 + 2,                          250 m2,25 Yaşında,                      4. Kat,              9.000              TL
                        sıfır  çift asansörlü  kapalı otoparklı 1.kat 3+1 110m2 kiralık daire                      ,3 + 1,                          110 m2,Sıfır Bina,                      1. Kat,              11.000              TL
                        küçükçamlıca'da 2+1 kiralık eşyalı daire                      ,2 + 1,                          120 m2,25 Yaşında,                      Giriş Katı,              7.500              TL
                        kiralık 2+1 sıfır yükse giriş daire merkezi konumda ulaşım sorunu yok                      ,2 + 1,                          87 m2,Sıfır Bina,                      Yüksek Giriş,              10.000              TL
                        sevinç emlak üsk.zeynepkamil.hastaneye.yakın.2+1 .90 m2 3. kt dr atabey cd yanı                      ,2 + 1,                          100 m2,30 Yaşında,                      3. Kat,              6.900              TL
                        finans merkezine komşu genç binada masrafsız geniş dubleks 4+1                      ,4 + 1,                          140 m2,7 Yaşında,                      4. Kat,              9.250              TL
Description,Weekend,Area,Age,Floor,Price
                        kandilli 'de deniz manzaralı içi yenilenmiş 100 m2 kiralık 2+1                      ,2 + 1,                          100 m2,8 Yaşında,                      1. Kat,              10.250              TL
                        üsküdar merkezde asansörlü 5 yıllık 3+1 120m2 boş kiralık dublex                      ,3 + 1,                          120 m2,5 Yaşında,                      4. Kat,              12.000              TL
                        kandilli iskele karşısı kiralık  iş yerine uygun boğaz manzaralı yol yalı dairesi                      ,2 + 1,                          100 m2,30 Yaşında,                      En Üst Kat,              15.000              TL
                        salacak’ta sıfır asansörlü bahçeli kısmı manzaralı lüks kiralık 1+1                      ,1 + 1,                          85 m2,Sıfır Bina,                      Bahçe Katı,              12.000              TL
                        kuzguncuk merkezde 250 m2 kullanım alanlı  bahçeli restore edilmiş  kupon müstakil                      ,4 + 1,                          270 m2,10 Yaşında,,              25.000              TL
                        boğaziçi sitesinde  5. kat kombili 3+1                      ,3 + 1,                          130 m2,27 Yaşında,                      5. Kat,              12.000              TL
                        kandilli 'de a+ yenilenmiş 457m2 kiralık yalı dairesi                      ,5 + 1,                          457 m2,Sıfır Bina,                      Villa Katı,              390.000              TL
                        üsküdar selimiye'de sıfır 4+1 214m2 teraslı kiralık dublex daire                      ,4 + 1,                          214 m2,3 Yaşında,                      4. Kat,              15.500              TL
                        çengelköy ofton kandilli elysium serene 3+1 büyük tip kiralık                      ,3 + 1,                          163 m2,8 Yaşında,                      4. Kat,              20.000              TL
"                        en/tr,eminden,merkeze yakın,1+1,3 aylık,full eşyalı,yüksek giriş                      ",1 + 1,                          65 m2,35 Yaşında,                      Yüksek Giriş,              7.000              TL
                        kurt emlak 3+1 90 m2 kadıköy ve üsküdara araçla 5 dakika kaçırmayın                      ,3 + 1,                          95 m2,25 Yaşında,                      Bahçe Katı,              6.000              TL
"                        asiltürk ten v.atikte caddeye zeynep kamilhastanesine çok yakın  3+1,130m2 3.kat                      ",3 + 1,                          130 m2,36 Yaşında,                      3. Kat,              8.000              TL
                        en uygun emlaktan 5+1 kiralık  dubleks daire                      ,5 + 1,                          250 m2,18 Yaşında,                      4. Kat,              9.000              TL
                        kuleli'de eşyalı kiralık boğaz manzaralı yol yalısı 110 m2 / 3+1                      ,3 + 1,                          110 m2,30 Yaşında,                      Ara Kat,              19.500              TL
                        f-l emlaktan otoparklı sitede 3+1 5. kat  1 temmuz da boşalacak!                      ,3 + 1,                          115 m2,15 Yaşında,                      5. Kat,              8.750              TL
                        üsküdarda kiralık boğaz manzaralı teraslı yol yalı dairesi                      ,2 + 1,                          170 m2,25 Yaşında,                      En Üst Kat,              50.000              TL
                        üsküdar murat reis kiralık eşyalı 3+1 dubleks daire                      ,3 + 1,                          130 m2,2 Yaşında,                      3. Kat,              10.000              TL
                        site icerisinde müstakil bahceli villa                      ,5 + 2,                          400 m2,25 Yaşında,,              25.000              TL
                        üsküdar fıstıkağacında 3+1 160m2 asansörlü kiralık dublex daire                      ,3 + 1,                          160 m2,4 Yaşında,                      4. Kat,              13.500              TL
                        en uygun emlaktan ebeveyn banyolu sıfır binada 3+1 daire                      ,3 + 1,                          120 m2,Sıfır Bina,                      4. Kat,              9.000              TL
                        kuzguncuk üstü icadiye'de dubleks 4+1 manzaralı ferah kiralık daire                      ,4 + 1,                          185 m2,30 Yaşında,                      4. Kat,              10.500              TL
                        kiralık. 3+1 daire                      ,3 + 1,                          120 m2,30 Yaşında,                      1. Kat,              8.500              TL
                        selimiyede sıfırlanmış kiralık 3+1 daire 1.kat                      ,3 + 1,                          140 m2,40 Yaşında,                      1. Kat,              9.500              TL
                        bağlarbaşı metro durağı yanı eşyalı 2+1 kiralık ferah daire                      ,2 + 1,                          75 m2,35 Yaşında,                      2. Kat,              12.500              TL
Description,Weekend,Area,Age,Floor,Price
                        üsküdar selimiye full eşyalı otoparklı 1+1 daire 3 ay peşin noterden kontrat                      ,1 + 1,                          70 m2,20 Yaşında,                      Bahçe Katı,              6.500              TL
                        bağlarbaşı merkez 2 oda 1 salon yüksek giriş kombili                      ,2 + 1,                          80 m2,35 Yaşında,                      Yüksek Giriş,              5.500              TL
"                        asiltürk den bağlarbaşında  metroya,yakın,2+1,65m2 bakımlı,ara kat köşe daire                      ",2 + 1,                          65 m2,34 Yaşında,                      1. Kat,              6.000              TL
                        altunuzade mesa avrupa korusunda kiralık daire                      ,3 + 1,                          145 m2,25 Yaşında,                      Yüksek Giriş,              28.000              TL
                        çengelköy'de kiralık içi yenilenmiş şık yalı dairesi                      ,3 + 1,                          155 m2,50 Yaşında,                      2. Kat,              50.000              TL
                        erzurum sitesinde 140m2 içi yenilenen 3+1                      ,3 + 1,                          140 m2,26 Yaşında,                      4. Kat,              13.500              TL
                        abn 'den kandilli'de kusursuz yenilenmiş kiralık a+ yalı dairesi                      ,5 + 1,                          500 m2,Sıfır Bina,                      Giriş Katı,              450.000              TL
                        salacakta 50 m2 kullanımlı loft daire                      ,1 + 1,                          60 m2,35 Yaşında,                      Giriş Katı,              5.500              TL
                        üsküdar zeynep kamil içi sıfırlanıyor güneş paneli klima kombi çift balkonlu daire ulaşıma yakın                      ,2 + 1,                          100 m2,25 Yaşında,                      5. Kat,              7.000              TL
"                        üsk.murat reis,te caddeye yakın 1+1,70m2 ,2.kat kiralık daire                      ",1 + 1,                          70 m2,30 Yaşında,                      Ara Kat,              5.500              TL
                        esatpaşa’da 6+1 dubleks daire                      ,6 + 1,                          250 m2,20 Yaşında,                      En Üst Kat,              9.000              TL
"                        üsküdar merkezde kiralık 1+1 daire,flat for rent in uskudar                      ",2 + 0,                          65 m2,15 Yaşında,                      Giriş Katı,              5.500              TL
                        çengelköy'de deniz manzaralı yeşillikler içerisinde kiralık 3+1 daire                      ,3 + 1,                          150 m2,25 Yaşında,,              12.500              TL
                        as emlak 'tan 1+1 full eşyalı sıfır binada merkeze yakın daire                      ,1 + 1,                          55 m2,Sıfır Bina,                      4. Kat,              10.000              TL
                        ışık'tan salacak'ta denize ilk sırada 2+1 eşyalı emsalsiz konumda kiralık daire                      ,2 + 1,                          100 m2,35 Yaşında,                      Giriş Katı,              15.000              TL
                        evim'den harika boğaz ve koru manzaralı bahçeli köşk                      ,6 + 2,                          250 m2,5 Yaşında,,              27.000              TL
                        üsküdar çengelköy otoparklı ankastre mutfaklı 2+1 kiralık daire                      ,2 + 1,                          97 m2,Sıfır Bina,                      1. Kat,              8.000              TL
                        art emlak'tan selimiye'de 140 m2 3+1 kombili 1.kat 2 balkonlu içi sıfırlanmış masrafsız daire                      ,3 + 1,                          140 m2,45 Yaşında,                      1. Kat,              9.500              TL
                        nakkaştepe altınuzade'de ultra lüx full eşyalı 1064m2 villa                      ,8 + 3,                          1.300 m2,10 Yaşında,,              180.000              TL
"                        eminden,üsküdar merkezde,1+1,kombili,ara kat,halk caddesinde,sadece memeura                      ",1 + 1,                          75 m2,26 Yaşında,                      3. Kat,              5.000              TL
                        mesa çengelköy 2011 karşısında 0 binada 4+1 3.kat kiralık daireistanbulun merkezinde çengelköy de me                      ,4 + 1,                          190 m2,Sıfır Bina,                      3. Kat,              17.000              TL
                        üsküdar nevbahar sitesi'nde 2+1 kiralık daire!                      ,2 + 1,                          110 m2,2 Yaşında,                      4. Kat,              16.000              TL
                        aile apartmanında 4+1 geniş ferah manzaralı çatı katı daire                      ,4 + 1,                          150 m2,11 Yaşında,                      5. Kat,              15.000              TL
                        üsküdar burhaniye 3+1                      ,3 + 1,                          160 m2,30 Yaşında,                      2. Kat,              8.000              TL
Description,Weekend,Area,Age,Floor,Price
                        devadan fıstıkağacında asansörlü teraslı 4 yıllık bina 3+1 dublex                      ,3 + 1,                          165 m2,4 Yaşında,                      4. Kat,              13.500              TL
                        as emlak’tan 3+2 selimiyede yeni binada asansörlü teraslı dublex                      ,3 + 2,                          200 m2,3 Yaşında,                      4. Kat,              15.500              TL
                        kiralık 2+1 3+1 4+1 0 daireler için bize ulaşabilirsiniz.                      ,2 + 1,                          120 m2,Sıfır Bina,                      Ara Kat,              13.000              TL
                        çengelköy tuana prestij evlerinde kiralık 3+1 sıfır daire                      ,3 + 1,                          136 m2,Sıfır Bina,                      3. Kat,              11.750              TL
                        aileye bekara öğrenciye eşyalı kiralık daire                      ,2 + 1,                          90 m2,20 Yaşında,                      Yüksek Giriş,              7.250              TL
                        mesa çengelköy 2011 karşısında 0 binada 4+1 1.kat kiralık daire                      ,4 + 1,                          190 m2,Sıfır Bina,                      1. Kat,              15.000              TL
                        kiralık ev üsküdar da                      ,1 + 1,                          70 m2,40 Yaşında,                      En Üst Kat,              4.500              TL
                        üsküdar bulgurlu libadiye cd öncü sk kiralık 6+1 daire ahşap lambri kaplı                      ,6 + 1,                          225 m2,25 Yaşında,                      En Üst Kat,              12.500              TL
                        üsküdar meydan'da deniz manzaralı 105 m2 2+1 eşyalı daire                      ,2 + 1,                          105 m2,31 Yaşında,                      Ara Kat,              10.500              TL
                        gökçe emlak müşavirliği                      ,3 + 1,                          180 m2,22 Yaşında,                      Kot 3,              9.000              TL
                        ofton serenity 2+1 flat for rent                      ,2 + 1,                          100 m2,4 Yaşında,                      Ara Kat,              15.000              TL
                        üsküdar çengelköy natoyolu cad. altınköy-1 st. 3+1 kiralık daire                      ,3 + 1,                          130 m2,20 Yaşında,                      4. Kat,              8.000              TL
                        çengelköy  park  villalarında bahçeli teraslı 4+2 bahçe dubleksi                      ,4 + 2,                          280 m2,Sıfır Bina,                      Bahçe Katı,              55.000              TL
                        kiralık 3+1 daire bos                      ,3 + 1,                          110 m2,30 Yaşında,                      1. Kat,              8.500              TL
                        as emlak'tan 2+1 full eşyalı merkeze yakın bahçe katı 75m2 daire                      ,2 + 1,                          75 m2,35 Yaşında,                      Bahçe Katı,              5.500              TL
                        üsküdar merkezde asansörlü kiralık dubleks 4+2 5 yıllık                      ,4 + 2,                          170 m2,5 Yaşında,                      4. Kat,              21.900              TL
                        ata2sitesinde                      ,5 + 2,                          400 m2,14 Yaşında,,              26.000              TL
                        zeynep kamil de 2 +1 kiralık daire                      ,2 + 1,                          80 m2,30 Yaşında,                      4. Kat,              7.000              TL
                        mesa çengelköy 2011 karşısında 0 binada 1+1 bahce kiralık daire                      ,1 + 1,                          130 m2,Sıfır Bina,                      Bahçe Katı,              7.000              TL
                        f-l emlak tan  bulgurlu cumhuriyette 2+1 içi yeni 1. kat kurumsal bekara                      ,2 + 1,                          85 m2,27 Yaşında,                      2. Kat,              6.250              TL
